Name,lon,lat
Nazlini,-109.434003,35.881974
Nazlini,-109.434003,35.881974
DOUGLAS RED CROSS,-109.53968300000001,31.3492
ALAMO LAKE,-113.58,34.2319
WEST PHOENIX,-112.14256999999999,33.48385
WEST PHOENIX,-112.14256999999999,33.48385
WEST PHOENIX,-112.14256999999999,33.48385
MESA,-111.86506999999999,33.41045
NORTH PHOENIX,-112.06626000000001,33.56033
GLENDALE,-112.19196000000001,33.57454
SOUTH PHOENIX,-112.07533000000001,33.40316
TEMPE,-111.93473,33.4124
WEST 43RD AVENUE,-112.14433999999999,33.406420000000004
WEST 43RD AVENUE,-112.14433999999999,33.406420000000004
WEST 43RD AVENUE,-112.14433999999999,33.406420000000004
Diablo,-111.967972,33.39625
Senior Center Air Monitoring Station,-111.855654,33.488242
Senior Center Air Monitoring Station,-111.855654,33.488242
DURANGO COMPLEX,-112.11814,33.4265
JLG SUPERSITE,-112.095767,33.503833
JLG SUPERSITE,-112.095767,33.503833
Peach Springs,-113.41078200000001,35.540017
ORANGE GROVE,-111.038389,32.322661
CHILDREN'S PARK NCore,-110.9823,32.29515
CHILDREN'S PARK NCore,-110.9823,32.29515
CHILDREN'S PARK NCore,-110.9823,32.29515
CASA GRANDE DOWNTOWN,-111.752222,32.877583
CASA GRANDE DOWNTOWN,-111.752222,32.877583
APACHE JUNCTION FIRE STATION,-111.503222,33.421194
COWTOWN,-111.97205,33.010529999999996
COWTOWN,-111.97205,33.010529999999996
NOGALES POST OFFICE,-110.936718,31.337203999999996
NOGALES POST OFFICE,-110.936718,31.337203999999996
NOGALES POST OFFICE,-110.936718,31.337203999999996
YUMA SUPERSITE,-114.61443999999999,32.690278
